id, request_id, response_id, name, value
"73","5",,"Cache-Control","max-age=0"
"74","5",,"Referer","http://bratrstvi.company.com/weblinks.php"
"75","5",,"Cookie","fusion_visited=yes"
"76",,"5","Server","nginx"
"77",,"5","Date","Sun, 07 Feb 2021 08:48:18 GMT"
"78",,"5","Content-Type","text/html"
"79",,"5","Connection","close"
"80",,"5","X-Powered-By","PHP/4.4.8"
"81",,"5","Content-Length","21422"
"82","6",,"Host","bratrstvi.company.com"
"83","6",,"Accept-Encoding","gzip, deflate"
"84","6",,"Accept","*/*"
"85","6",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"86","6",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"87","6",,"Connection","close"
"88","6",,"Cache-Control","max-age=0"
"89","6",,"Referer","http://bratrstvi.company.com/news_cats.php"
"90","6",,"Cookie","fusion_visited=yes"
"91",,"6","Server","nginx"
"92",,"6","Date","Sun, 07 Feb 2021 08:49:25 GMT"
"93",,"6","Content-Type","text/html"
"94",,"6","Connection","close"
"95",,"6","X-Powered-By","PHP/4.4.8"
"96",,"6","Content-Length","48066"
"97","7",,"Host","bratrstvi.company.com"
"98","7",,"Accept-Encoding","gzip, deflate"
"99","7",,"Accept","*/*"
"100","7",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"101","7",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"102","7",,"Connection","close"
"103","7",,"Cache-Control","max-age=0"
"104","7",,"Referer","http://bratrstvi.company.com/news_cats.php"
"105","7",,"Cookie","fusion_visited=yes"
"106",,"7","Server","nginx"
"107",,"7","Date","Sun, 07 Feb 2021 08:49:32 GMT"
"108",,"7","Content-Type","text/html"
"109",,"7","Connection","close"
"110",,"7","X-Powered-By","PHP/4.4.8"
"111",,"7","Content-Length","48572"
"112","8",,"Host","bratrstvi.company.com"
"113","8",,"Accept-Encoding","gzip, deflate"
"114","8",,"Accept","*/*"
"228",,"15","Server","nginx"
"115","8",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"116","8",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"117","8",,"Connection","close"
"118","8",,"Cache-Control","max-age=0"
"119","8",,"Referer","http://bratrstvi.company.com/news_cats.php"
"120","8",,"Cookie","fusion_visited=yes"
"121",,"8","Server","nginx"
"122",,"8","Date","Sun, 07 Feb 2021 08:49:37 GMT"
"123",,"8","Content-Type","text/html"
"124",,"8","Connection","close"
"125",,"8","X-Powered-By","PHP/4.4.8"
"126",,"8","Content-Length","56098"
"127","9",,"Host","bratrstvi.company.com"
"128","9",,"Accept-Encoding","gzip, deflate"
"129","9",,"Accept","*/*"
"130","9",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"131","9",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"132","9",,"Connection","close"
"133","9",,"Cache-Control","max-age=0"
"134","9",,"Referer","http://bratrstvi.company.com/news_cats.php"
"135","9",,"Cookie","fusion_visited=yes"
"136",,"9","Server","nginx"
"137",,"9","Date","Sun, 07 Feb 2021 08:49:41 GMT"
"138",,"9","Content-Type","text/html"
"139",,"9","Connection","close"
"140",,"9","X-Powered-By","PHP/4.4.8"
"141",,"9","Content-Length","57421"
"142","10",,"Host","bratrstvi.company.com"
"143","10",,"Accept-Encoding","gzip, deflate"
"144","10",,"Accept","*/*"
"145","10",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"146","10",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"147","10",,"Connection","close"
"148","10",,"Cache-Control","max-age=0"
"149","10",,"Referer","http://bratrstvi.company.com/news_cats.php"
"150","10",,"Cookie","fusion_visited=yes"
"151",,"10","Server","nginx"
"152",,"10","Date","Sun, 07 Feb 2021 08:49:44 GMT"
"153",,"10","Content-Type","text/html"
"154",,"10","Connection","close"
"155",,"10","X-Powered-By","PHP/4.4.8"
"156",,"10","Content-Length","62843"
"157","11",,"Host","bratrstvi.company.com"
"158","11",,"Accept-Encoding","gzip, deflate"
"159","11",,"Accept","*/*"
"160","11",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"161","11",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"162","11",,"Connection","close"
"163","11",,"Cache-Control","max-age=0"
"164","11",,"Referer","http://bratrstvi.company.com/news.php"
"165","11",,"Cookie","fusion_visited=yes"
"166",,"11","Server","nginx"
"167",,"11","Date","Sun, 07 Feb 2021 08:49:48 GMT"
"168",,"11","Content-Type","text/html"
"169",,"11","Connection","close"
"170",,"11","X-Powered-By","PHP/4.4.8"
"171",,"11","Content-Length","20320"
"172","12",,"Host","bratrstvi.company.com"
"173","12",,"Accept-Encoding","gzip, deflate"
"174","12",,"Accept","*/*"
"175","12",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"176","12",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"177","12",,"Connection","close"
"178","12",,"Cache-Control","max-age=0"
"179","12",,"Referer","http://bratrstvi.company.com/news.php"
"180","12",,"Cookie","fusion_visited=yes"
"181",,"12","Server","nginx"
"182",,"12","Date","Sun, 07 Feb 2021 08:49:50 GMT"
"183",,"12","Content-Type","text/html"
"184",,"12","Connection","close"
"185",,"12","X-Powered-By","PHP/4.4.8"
"186",,"12","Content-Length","20304"
"187","13",,"Host","bratrstvi.company.com"
"188","13",,"Accept-Encoding","gzip, deflate"
"189","13",,"Accept","*/*"
"190","13",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"191","13",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"192","13",,"Connection","close"
"193","13",,"Cache-Control","max-age=0"
"194","13",,"Referer","http://bratrstvi.company.com/news.php"
"195","13",,"Cookie","fusion_visited=yes"
"196",,"13","Server","nginx"
"197",,"13","Date","Sun, 07 Feb 2021 08:49:52 GMT"
"198",,"13","Content-Type","text/html"
"199",,"13","Connection","close"
"200",,"13","X-Powered-By","PHP/4.4.8"
"201",,"13","Content-Length","20214"
"202","14",,"Host","bratrstvi.company.com"
"203","14",,"Accept-Encoding","gzip, deflate"
"204","14",,"Accept","*/*"
"205","14",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"206","14",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"207","14",,"Connection","close"
"208","14",,"Cache-Control","max-age=0"
"209","14",,"Referer","http://bratrstvi.company.com/news.php"
"210","14",,"Cookie","fusion_visited=yes"
"211",,"14","Server","nginx"
"212",,"14","Date","Sun, 07 Feb 2021 08:49:54 GMT"
"213",,"14","Content-Type","text/html"
"214",,"14","Connection","close"
"215",,"14","X-Powered-By","PHP/4.4.8"
"216",,"14","Content-Length","18534"
"217","15",,"Host","bratrstvi.company.com"
"218","15",,"Accept-Encoding","gzip, deflate"
"219","15",,"Accept","*/*"
"220","15",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"221","15",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"222","15",,"Connection","close"
"223","15",,"Cache-Control","max-age=0"
"224","15",,"Referer","http://bratrstvi.company.com/news.php"
"225","15",,"Content-Type","application/x-www-form-urlencoded"
"226","15",,"Content-Length","83"
"227","15",,"Cookie","fusion_visited=yes"
"229",,"15","Date","Sun, 07 Feb 2021 08:50:00 GMT"
"230",,"15","Content-Type","text/html"
"231",,"15","Content-Length","0"
"232",,"15","Connection","close"
"233",,"15","X-Powered-By","PHP/4.4.8"
"234",,"15","Location","setuser.php?error=3"
"235","16",,"Host","bratrstvi.company.com"
"236","16",,"Accept-Encoding","gzip, deflate"
"237","16",,"Accept","*/*",
"238","16",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"239","16",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"240","16",,"Connection","close"
"241","16",,"Cache-Control","max-age=0"
"242","16",,"Referer","http://bratrstvi.company.com/news.php"
"243","16",,"Content-Type","application/x-www-form-urlencoded"
"244","16",,"Content-Length","22"
"245","16",,"Cookie","fusion_visited=yes"
"246",,"16","Server","nginx"
"247",,"16","Date","Sun, 07 Feb 2021 09:40:59 GMT"
"248",,"16","Content-Type","text/html"
"249",,"16","Connection","close"
"250",,"16","X-Powered-By","PHP/4.4.8"
"251",,"16","Content-Length","21422"
"252","17",,"Host","bratrstvi.company.com"
"253","17",,"Accept-Encoding","gzip, deflate"
"254","17",,"Accept","*/*"
"255","17",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"256","17",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"257","17",,"Connection","close"
"258","17",,"Cache-Control","max-age=0"
"259","17",,"Referer","http://bratrstvi.company.com/news.php"
"260","17",,"Content-Type","application/x-www-form-urlencoded"
"261","17",,"Content-Length","80"
"262","17",,"Cookie","fusion_visited=yes"
"263",,"17","Server","nginx"
"264",,"17","Date","Sun, 07 Feb 2021 08:50:04 GMT"
"265",,"17","Content-Type","text/html"
"266",,"17","Content-Length","2296"
"267",,"17","Connection","close"
"268",,"17","X-Powered-By","PHP/4.4.8"
"269",,"17","Location","news.php"
"270","18",,"Host","bratrstvi.company.com"
"271","18",,"Accept-Encoding","gzip, deflate"
"272","18",,"Accept","*/*"
"273","18",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"274","18",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"275","18",,"Connection","close"
"276","18",,"Cache-Control","max-age=0"
"277","18",,"Referer","http://bratrstvi.company.com/news.php"
"278","18",,"Content-Type","application/x-www-form-urlencoded"
"279","18",,"Content-Length","61"
"280","18",,"Cookie","fusion_visited=yes"
"281",,"18","Server","nginx"
"282",,"18","Date","Sun, 07 Feb 2021 08:50:25 GMT"
"283",,"18","Content-Type","text/html"
"284",,"18","Connection","close"
"285",,"18","X-Powered-By","PHP/4.4.8"
"286",,"18","Content-Length","21422"
"287","19",,"Host","bratrstvi.company.com"
"288","19",,"Accept-Encoding","gzip, deflate"
"289","19",,"Accept","*/*"
"290","19",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"291","19",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"292","19",,"Connection","close"
"293","19",,"Cache-Control","max-age=0"
"294","19",,"Referer","http://bratrstvi.company.com/news.php"
"295","19",,"Content-Type","application/x-www-form-urlencoded"
"296","19",,"Content-Length","61"
"297","19",,"Cookie","fusion_visited=yes"
"298",,"19","Server","nginx"
"299",,"19","Date","Sun, 07 Feb 2021 08:50:34 GMT"
"300",,"19","Content-Type","text/html"
"301",,"19","Connection","close"
"302",,"19","X-Powered-By","PHP/4.4.8"
"303",,"19","Content-Length","21422"
"304","20",,"Host","bratrstvi.company.com"
"305","20",,"Accept-Encoding","gzip, deflate"
"306","20",,"Accept","*/*"
"307","20",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"308","20",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"309","20",,"Connection","close"
"310","20",,"Cache-Control","max-age=0"
"311","20",,"Referer","http://bratrstvi.company.com/news_cats.php"
"312","20",,"Cookie","fusion_visited=yes"
"313",,"20","Server","nginx"
"314",,"20","Date","Sun, 07 Feb 2021 08:50:59 GMT"
"315",,"20","Content-Type","text/html"
"316",,"20","Connection","close"
"317",,"20","X-Powered-By","PHP/4.4.8"
"318",,"20","Content-Length","53305"
"319","21",,"Host","bratrstvi.company.com"
"320","21",,"Accept-Encoding","gzip, deflate"
"321","21",,"Accept","*/*"
"322","21",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"323","21",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"324","21",,"Connection","close"
"325","21",,"Cache-Control","max-age=0"
"326","21",,"Referer","http://bratrstvi.company.com/news_cats.php"
"327","21",,"Cookie","fusion_visited=yes"
"328",,"21","Server","nginx"
"329",,"21","Date","Sun, 07 Feb 2021 08:51:03 GMT"
"330",,"21","Content-Type","text/html"
"331",,"21","Connection","close"
"332",,"21","X-Powered-By","PHP/4.4.8"
"333",,"21","Content-Length","39368"
"334","22",,"Host","bratrstvi.company.com"
"335","22",,"Accept-Encoding","gzip, deflate"
"336","22",,"Accept","*/*"
"337","22",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"338","22",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"339","22",,"Connection","close"
"340","22",,"Cache-Control","max-age=0"
"341","22",,"Referer","http://bratrstvi.company.com/news_cats.php"
"342","22",,"Cookie","fusion_visited=yes"
"343",,"22","Server","nginx"
"344",,"22","Date","Sun, 07 Feb 2021 08:51:06 GMT"
"345",,"22","Content-Type","text/html"
"346",,"22","Connection","close"
"347",,"22","X-Powered-By","PHP/4.4.8"
"348",,"22","Content-Length","54918"
"349","23",,"Host","bratrstvi.company.com"
"350","23",,"Accept-Encoding","gzip, deflate"
"351","23",,"Accept","*/*"
"352","23",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"353","23",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"354","23",,"Connection","close"
"355","23",,"Cache-Control","max-age=0"
"356","23",,"Referer","http://bratrstvi.company.com/news_cats.php"
"357","23",,"Cookie","fusion_visited=yes"
"358",,"23","Server","nginx"
"359",,"23","Date","Sun, 07 Feb 2021 08:51:09 GMT"
"360",,"23","Content-Type","text/html"
"361",,"23","Connection","close"
"362",,"23","X-Powered-By","PHP/4.4.8"
"363",,"23","Content-Length","55964"
"364","24",,"Host","bratrstvi.company.com"
"365","24",,"Accept-Encoding","gzip, deflate"
"366","24",,"Accept","*/*"
"367","24",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"368","24",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"369","24",,"Connection","close"
"370","24",,"Cache-Control","max-age=0"
"371","24",,"Referer","http://bratrstvi.company.com/news_cats.php"
"372","24",,"Cookie","fusion_visited=yes"
"373",,"24","Server","nginx"
"374",,"24","Date","Sun, 07 Feb 2021 08:51:13 GMT"
"375",,"24","Content-Type","text/html"
"376",,"24","Connection","close"
"377",,"24","X-Powered-By","PHP/4.4.8"
"378",,"24","Content-Length","45441"
"379","25",,"Host","bratrstvi.company.com"
"380","25",,"Accept-Encoding","gzip, deflate"
"381","25",,"Accept","*/*"
"382","25",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"383","25",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"384","25",,"Connection","close"
"385","25",,"Cache-Control","max-age=0"
"386","25",,"Referer","http://bratrstvi.company.com/news_cats.php"
"387","25",,"Cookie","fusion_visited=yes"
"388",,"25","Server","nginx"
"389",,"25","Date","Sun, 07 Feb 2021 08:51:16 GMT"
"390",,"25","Content-Type","text/html"
"391",,"25","Connection","close"
"392",,"25","X-Powered-By","PHP/4.4.8"
"393",,"25","Content-Length","55263"
"394","26",,"Host","bratrstvi.company.com"
"395","26",,"Accept-Encoding","gzip, deflate"
"396","26",,"Accept","*/*"
"397","26",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"398","26",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"399","26",,"Connection","close"
"400","26",,"Cache-Control","max-age=0"
"401","26",,"Referer","http://bratrstvi.company.com/news_cats.php"
"402","26",,"Cookie","fusion_visited=yes"
"403",,"26","Server","nginx"
"404",,"26","Date","Sun, 07 Feb 2021 08:51:20 GMT"
"405",,"26","Content-Type","text/html"
"406",,"26","Connection","close"
"407",,"26","X-Powered-By","PHP/4.4.8"
"408",,"26","Content-Length","52236"
"409","27",,"Host","bratrstvi.company.com"
"410","27",,"Accept-Encoding","gzip, deflate"
"411","27",,"Accept","*/*"
"412","27",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"413","27",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"414","27",,"Connection","close"
"415","27",,"Cache-Control","max-age=0"
"416","27",,"Referer","http://bratrstvi.company.com/news_cats.php"
"417","27",,"Cookie","fusion_visited=yes"
"418",,"27","Server","nginx"
"419",,"27","Date","Sun, 07 Feb 2021 08:51:23 GMT"
"420",,"27","Content-Type","text/html"
"421",,"27","Connection","close"
"422",,"27","X-Powered-By","PHP/4.4.8"
"423",,"27","Content-Length","51084"
"424","28",,"Host","bratrstvi.company.com"
"425","28",,"Accept-Encoding","gzip, deflate"
"426","28",,"Accept","*/*"
"427","28",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"428","28",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"429","28",,"Connection","close"
"430","28",,"Cache-Control","max-age=0"
"431","28",,"Referer","http://bratrstvi.company.com/news_cats.php"
"432","28",,"Cookie","fusion_visited=yes"
"433",,"28","Server","nginx"
"434",,"28","Date","Sun, 07 Feb 2021 08:51:30 GMT"
"435",,"28","Content-Type","text/html"
"436",,"28","Connection","close"
"437",,"28","X-Powered-By","PHP/4.4.8"
"438",,"28","Content-Length","41808"
"439","29",,"Host","bratrstvi.company.com"
"440","29",,"Accept-Encoding","gzip, deflate"
"441","29",,"Accept","*/*"
"442","29",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"443","29",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"444","29",,"Connection","close"
"445","29",,"Cache-Control","max-age=0"
"446","29",,"Referer","http://bratrstvi.company.com/news_cats.php"
"447","29",,"Cookie","fusion_visited=yes"
"448",,"29","Server","nginx"
"449",,"29","Date","Sun, 07 Feb 2021 08:51:33 GMT"
"450",,"29","Content-Type","text/html"
"451",,"29","Connection","close"
"452",,"29","X-Powered-By","PHP/4.4.8"
"453",,"29","Content-Length","41450"
"454","30",,"Host","bratrstvi.company.com"
"455","30",,"Accept-Encoding","gzip, deflate"
"456","30",,"Accept","*/*"
"457","30",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"458","30",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"459","30",,"Connection","close"
"460","30",,"Cache-Control","max-age=0"
"461","30",,"Referer","http://bratrstvi.company.com/news_cats.php"
"462","30",,"Cookie","fusion_visited=yes"
"463",,"30","Server","nginx"
"464",,"30","Date","Sun, 07 Feb 2021 08:51:36 GMT"
"465",,"30","Content-Type","text/html"
"466",,"30","Connection","close"
"467",,"30","X-Powered-By","PHP/4.4.8"
"468",,"30","Content-Length","101595"
"469","31",,"Host","bratrstvi.company.com"
"470","31",,"Accept-Encoding","gzip, deflate"
"471","31",,"Accept","*/*"
"472","31",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"473","31",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"474","31",,"Connection","close"
"475","31",,"Cache-Control","max-age=0"
"476","31",,"Referer","http://bratrstvi.company.com/news_cats.php"
"477","31",,"Cookie","fusion_visited=yes"
"478",,"31","Server","nginx"
"479",,"31","Date","Sun, 07 Feb 2021 08:51:44 GMT"
"480",,"31","Content-Type","text/html"
"481",,"31","Connection","close"
"482",,"31","X-Powered-By","PHP/4.4.8"
"483",,"31","Content-Length","46398"
"484","32",,"Host","bratrstvi.company.com"
"485","32",,"Accept-Encoding","gzip, deflate"
"486","32",,"Accept","*/*"
"487","32",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"488","32",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"489","32",,"Connection","close"
"490","32",,"Cache-Control","max-age=0"
"491","32",,"Referer","http://bratrstvi.company.com/news_cats.php"
"492","32",,"Cookie","fusion_visited=yes"
"493",,"32","Server","nginx"
"494",,"32","Date","Sun, 07 Feb 2021 08:51:48 GMT"
"495",,"32","Content-Type","text/html"
"496",,"32","Connection","close"
"497",,"32","X-Powered-By","PHP/4.4.8"
"498",,"32","Content-Length","44511"
"499","33",,"Host","bratrstvi.company.com"
"500","33",,"Accept-Encoding","gzip, deflate"
"501","33",,"Accept","*/*"
"502","33",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"503","33",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"504","33",,"Connection","close"
"505","33",,"Cache-Control","max-age=0"
"506","33",,"Referer","http://bratrstvi.company.com/news_cats.php"
"507","33",,"Cookie","fusion_visited=yes"
"508",,"33","Server","nginx"
"509",,"33","Date","Sun, 07 Feb 2021 08:51:51 GMT"
"510",,"33","Content-Type","text/html"
"511",,"33","Connection","close"
"512",,"33","X-Powered-By","PHP/4.4.8"
"513",,"33","Content-Length","41416"
"514","34",,"Host","bratrstvi.company.com"
"515","34",,"Accept-Encoding","gzip, deflate"
"516","34",,"Accept","*/*"
"517","34",,"Accept-Language","en-US,en-GB;q=0.9,en;q=0.8"
"518","34",,"User-Agent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
"519","34",,"Connection","close"
"520","34",,"Cache-Control","max-age=0"
